brinnummer_duo,opleidingscode_duo,instellingsnaam_duo,croho_onderdeel_duo,croho_subonderdeel_duo,opleidingsnaam_duo,ho_type,soortopleiding_duo,2015_man_i,2015_vrouw_i,2016_man_i,2016_vrouw_i,2017_man_i,2017_vrouw_i,2018_man_i,2018_vrouw_i,2019_man_i,2019_vrouw_i,2015_tot_i,2016_tot_i,2017_tot_i,2018_tot_i,2019_tot_i,2014_man_d,2014_vrouw_d,2015_man_d,2015_vrouw_d,2016_man_d,2016_vrouw_d,2017_man_d,2017_vrouw_d,2018_man_d,2018_vrouw_d,2014_tot_d,2015_tot_d,2016_tot_d,2017_tot_d,2018_tot_d,gemeentenummer_duo,cluster_sdb,sector_sdb,actieveopleiding_sdb,naamopleidingengels_sdb,eerstejaarsaantal_sdb,studentenaantal_sdb,_merge,tech_keyword,tech_label
00MF,34860,Hogeschool voor de Kunsten Utrecht,taal en cultuur,opleidingen op het gebied van de kunst,Theater,hbo,bachelor,15.0,28.0,11.0,24.0,15.0,28.0,14.0,30.0,14.0,24.0,43.0,35.0,43.0,44.0,38.0,10.0,18.0,10.0,13.0,11.0,14.0,6.0,26.0,7.0,22.0,28.0,23.0,25.0,32.0,29.0,"['307', '344']",Toneel,Kunst en Cultuur,0.0,Theatre,57.0,190.0,both,,no_tech
00MF,39110,Hogeschool voor de Kunsten Utrecht,taal en cultuur,opleidingen op het gebied van de kunst,Autonome Beeldende Kunst,hbo,bachelor,8.0,30.0,8.0,21.0,6.0,34.0,11.0,32.0,14.0,27.0,38.0,29.0,40.0,43.0,41.0,17.0,24.0,18.0,19.0,7.0,19.0,11.0,16.0,9.0,22.0,41.0,37.0,26.0,27.0,31.0,"['307', '344']",Kunstacademie,Kunst en Cultuur,1.0,Fine Art,49.0,167.0,both,,no_tech
00MF,39111,Hogeschool voor de Kunsten Utrecht,taal en cultuur,opleidingen op het gebied van de kunst,Vormgeving,hbo,bachelor,98.0,156.0,88.0,176.0,106.0,215.0,93.0,215.0,85.0,178.0,254.0,264.0,321.0,308.0,263.0,99.0,145.0,91.0,146.0,109.0,153.0,102.0,132.0,80.0,131.0,244.0,237.0,262.0,234.0,211.0,"['307', '344']",Kunstacademie,Kunst en Cultuur,0.0,Design,365.0,1224.0,both,design,designer
00MF,80144,Hogeschool voor de Kunsten Utrecht,taal en cultuur,opleidingen op het gebied van de kunst,Design,hbo,associate degree,0.0,0.0,0.0,0.0,0.0,0.0,15.0,16.0,11.0,18.0,0.0,0.0,0.0,31.0,29.0,,,,,,,,,,,,,,,,"['307', '344']",,,1.0,Design,31.0,31.0,left_only,design,no_tech
00MF,44739,Hogeschool voor de Kunsten Utrecht,taal en cultuur,voortgezette kunstopleidingen,Muziek,hbo,master,19.0,21.0,32.0,22.0,38.0,22.0,35.0,20.0,22.0,28.0,40.0,54.0,60.0,55.0,50.0,30.0,13.0,20.0,14.0,20.0,20.0,26.0,17.0,32.0,17.0,43.0,34.0,40.0,43.0,49.0,"['307', '344']",Muziek,Kunst en Cultuur,0.0,Music,59.0,141.0,both,,no_tech
00MF,49114,Hogeschool voor de Kunsten Utrecht,taal en cultuur,voortgezette kunstopleidingen,Master of Arts in Fine Art and Design,hbo,master,1.0,10.0,3.0,7.0,10.0,20.0,10.0,18.0,3.0,19.0,11.0,10.0,30.0,28.0,22.0,0.0,1.0,0.0,7.0,1.0,6.0,3.0,7.0,8.0,20.0,1.0,7.0,7.0,10.0,28.0,"['307', '344']",Kunstacademie,Kunst en Cultuur,1.0,Master of Arts in Fine Art and Design,28.0,58.0,both,design,no_tech
00MF,49238,Hogeschool voor de Kunsten Utrecht,taal en cultuur,voortgezette kunstopleidingen,Interieurarchitectuur,hbo,master,4.0,12.0,2.0,8.0,1.0,6.0,2.0,11.0,2.0,12.0,16.0,10.0,7.0,13.0,14.0,3.0,9.0,2.0,5.0,1.0,12.0,3.0,6.0,1.0,5.0,12.0,7.0,13.0,9.0,6.0,"['307', '344']",Ontwerpen,Kunst en Cultuur,1.0,Interior Architecture,13.0,21.0,both,,no_tech
00MF,30036,Hogeschool voor de Kunsten Utrecht,techniek,n.v.t. (techniek),Creative Media and Game Technologies,hbo,bachelor,63.0,23.0,74.0,43.0,73.0,33.0,68.0,33.0,73.0,45.0,86.0,117.0,106.0,101.0,118.0,85.0,12.0,63.0,15.0,69.0,21.0,60.0,21.0,43.0,20.0,97.0,78.0,90.0,81.0,63.0,"['307', '344']",Game Architecture and Design,Techniek,0.0,Creative Media and Game Technologies,134.0,478.0,both,"creative, media",designer
01VU,30029,Christelijke Hogeschool Windesheim,economie,n.v.t. (economie),International Business,hbo,bachelor,31.0,33.0,41.0,36.0,45.0,43.0,42.0,43.0,48.0,30.0,64.0,77.0,88.0,85.0,78.0,8.0,25.0,11.0,25.0,11.0,13.0,15.0,26.0,14.0,33.0,33.0,36.0,24.0,41.0,47.0,"['34', '80', '14', '153', '193', '344']",International Business and Management,Economie en Bedrijf,1.0,International Business,114.0,334.0,both,,no_tech
01VU,34035,Christelijke Hogeschool Windesheim,economie,n.v.t. (economie),Bedrijfskunde,hbo,bachelor,102.0,55.0,112.0,66.0,150.0,78.0,154.0,74.0,201.0,93.0,157.0,178.0,228.0,228.0,294.0,58.0,34.0,76.0,44.0,69.0,40.0,67.0,47.0,86.0,51.0,92.0,120.0,109.0,114.0,137.0,"['34', '80', '14', '153', '193', '344']",Bedrijfskunde en management,Economie en Bedrijf,1.0,Business Administration,333.0,921.0,both,,no_tech
01VU,34402,Christelijke Hogeschool Windesheim,economie,n.v.t. (economie),Commerciele Economie,hbo,bachelor,138.0,43.0,172.0,47.0,176.0,50.0,169.0,51.0,211.0,71.0,181.0,219.0,226.0,220.0,282.0,110.0,25.0,85.0,21.0,80.0,27.0,93.0,29.0,112.0,32.0,135.0,106.0,107.0,122.0,144.0,"['34', '80', '14', '153', '193', '344']",Commerciële economie,Economie en Bedrijf,1.0,Marketing Management,329.0,965.0,both,marketing,no_tech
01VU,34405,Christelijke Hogeschool Windesheim,economie,n.v.t. (economie),Communicatie,hbo,bachelor,18.0,56.0,18.0,70.0,27.0,68.0,16.0,85.0,34.0,109.0,74.0,88.0,95.0,101.0,143.0,17.0,74.0,22.0,86.0,15.0,70.0,20.0,70.0,10.0,57.0,91.0,108.0,85.0,90.0,67.0,"['34', '80', '14', '153', '193', '344']",Communicatie,Taal en Communicatie,1.0,Communication,149.0,484.0,both,,growth
01VU,34406,Christelijke Hogeschool Windesheim,economie,n.v.t. (economie),Accountancy,hbo,bachelor,68.0,17.0,68.0,36.0,82.0,20.0,52.0,21.0,69.0,30.0,85.0,104.0,102.0,73.0,99.0,31.0,16.0,25.0,9.0,27.0,18.0,34.0,13.0,37.0,20.0,47.0,34.0,45.0,47.0,57.0,"['34', '80', '14', '153', '193', '344']",Accountancy en fiscaal,Economie en Bedrijf,1.0,Accountancy,106.0,379.0,both,,no_tech
01VU,34609,Christelijke Hogeschool Windesheim,economie,n.v.t. (economie),Human Resource Management,hbo,bachelor,31.0,78.0,45.0,66.0,39.0,108.0,50.0,93.0,38.0,83.0,109.0,111.0,147.0,143.0,121.0,29.0,55.0,29.0,54.0,25.0,55.0,41.0,64.0,28.0,62.0,84.0,83.0,80.0,105.0,90.0,"['34', '80', '14', '153', '193', '344']",Personeel en Arbeid,Gedrag en Maatschappij,1.0,Human Resource Management,230.0,658.0,both,,no_tech
01VU,34686,Christelijke Hogeschool Windesheim,economie,n.v.t. (economie),Journalistiek,hbo,bachelor,51.0,63.0,73.0,76.0,74.0,107.0,69.0,78.0,64.0,82.0,114.0,149.0,181.0,147.0,146.0,66.0,93.0,47.0,64.0,37.0,31.0,42.0,48.0,30.0,35.0,159.0,111.0,68.0,90.0,65.0,"['34', '80', '14', '153', '193', '344']",Journalistiek,Taal en Communicatie,1.0,Journalism,187.0,514.0,both,,no_tech
01VU,35517,Christelijke Hogeschool Windesheim,economie,n.v.t. (economie),"Finance, Tax and Advice",hbo,bachelor,28.0,8.0,30.0,3.0,24.0,10.0,18.0,13.0,34.0,9.0,36.0,33.0,34.0,31.0,43.0,18.0,11.0,15.0,9.0,15.0,16.0,9.0,10.0,20.0,3.0,29.0,24.0,31.0,19.0,23.0,"['34', '80', '14', '153', '193', '344']",Financial Services Management,Economie en Bedrijf,1.0,"Finance, Tax and Advice",42.0,169.0,both,,no_tech
01VU,35520,Christelijke Hogeschool Windesheim,economie,n.v.t. (economie),Finance & Control,hbo,bachelor,165.0,48.0,133.0,55.0,141.0,35.0,135.0,47.0,112.0,50.0,213.0,188.0,176.0,182.0,162.0,98.0,39.0,94.0,17.0,89.0,27.0,97.0,37.0,81.0,34.0,137.0,111.0,116.0,134.0,115.0,"['34', '80', '14', '153', '193', '344']",Bedrijfseconomie,Economie en Bedrijf,1.0,Finance & Control,238.0,769.0,both,,no_tech
01VU,35522,Christelijke Hogeschool Windesheim,economie,n.v.t. (economie),Logistics Management,hbo,bachelor,52.0,13.0,52.0,14.0,69.0,11.0,60.0,13.0,51.0,18.0,65.0,66.0,80.0,73.0,69.0,28.0,6.0,31.0,9.0,31.0,9.0,33.0,13.0,36.0,10.0,34.0,40.0,40.0,46.0,46.0,"['34', '80', '14', '153', '193', '344']",Bedrijfskunde en management,Economie en Bedrijf,1.0,Logistics Management,103.0,300.0,both,,no_tech
01VU,35523,Christelijke Hogeschool Windesheim,economie,n.v.t. (economie),Ondernemerschap & Retail Management,hbo,bachelor,66.0,19.0,72.0,18.0,78.0,12.0,61.0,19.0,79.0,20.0,85.0,90.0,90.0,80.0,99.0,52.0,14.0,37.0,13.0,27.0,20.0,53.0,18.0,67.0,23.0,66.0,50.0,47.0,71.0,90.0,"['34', '80', '14', '153', '193', '344']",Small Business en Retail Management,Economie en Bedrijf,1.0,Entrepreneurship & Retail Management,111.0,372.0,both,,no_tech
01VU,39205,Christelijke Hogeschool Windesheim,economie,n.v.t. (economie),HBO - Rechten,hbo,bachelor,31.0,96.0,75.0,121.0,58.0,129.0,73.0,179.0,98.0,223.0,127.0,196.0,187.0,252.0,321.0,19.0,42.0,19.0,40.0,19.0,28.0,22.0,55.0,11.0,52.0,61.0,59.0,47.0,77.0,63.0,"['34', '80', '14', '153', '193', '344']",HBO - Rechten,Recht en Bestuur,1.0,Law,337.0,687.0,both,,no_tech
01VU,80007,Christelijke Hogeschool Windesheim,economie,n.v.t. (economie),Officemanagement,hbo,associate degree,3.0,17.0,5.0,36.0,10.0,56.0,30.0,120.0,47.0,148.0,20.0,41.0,66.0,150.0,195.0,0.0,0.0,0.0,0.0,1.0,8.0,5.0,27.0,4.0,35.0,0.0,0.0,9.0,32.0,39.0,"['34', '80', '14', '153', '193', '344']",Facility management,Economie en Bedrijf,1.0,Officemanagement,151.0,216.0,both,,no_tech
01VU,80080,Christelijke Hogeschool Windesheim,economie,n.v.t. (economie),Ondernemen,hbo,associate degree,19.0,8.0,36.0,20.0,43.0,19.0,36.0,29.0,49.0,25.0,27.0,56.0,62.0,65.0,74.0,0.0,0.0,0.0,0.0,2.0,1.0,12.0,5.0,11.0,6.0,0.0,0.0,3.0,17.0,17.0,"['34', '80', '14', '153', '193', '344']",Bedrijfskunde en management,Economie en Bedrijf,1.0,Entrepreneurship,67.0,126.0,both,,no_tech
01VU,80103,Christelijke Hogeschool Windesheim,economie,n.v.t. (economie),Commerciele Economie,hbo,associate degree,0.0,0.0,0.0,0.0,12.0,3.0,47.0,10.0,41.0,16.0,0.0,0.0,15.0,57.0,57.0,0.0,,0.0,,0.0,,0.0,,3.0,,0.0,0.0,0.0,0.0,3.0,"['34', '80', '14', '153', '193', '344']",Commerciële economie,Economie en Bedrijf,1.0,Marketing,60.0,71.0,both,marketing,no_tech
01VU,80143,Christelijke Hogeschool Windesheim,economie,n.v.t. (economie),Finance,hbo,associate degree,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0,33.0,18.0,0.0,0.0,0.0,25.0,51.0,,,,,,,,,,,,,,,,"['34', '80', '14', '153', '193', '344']",Financial Services Management,Economie en Bedrijf,1.0,Finance,28.0,28.0,both,,no_tech
01VU,30012,Christelijke Hogeschool Windesheim,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),Pedagogisch Management Kind en Educatie,hbo,bachelor,0.0,16.0,0.0,14.0,2.0,27.0,3.0,42.0,4.0,52.0,16.0,14.0,29.0,45.0,56.0,,13.0,,22.0,,18.0,,24.0,,8.0,13.0,22.0,18.0,24.0,8.0,"['34', '80', '14', '153', '193', '344']",Pedagogiek,Onderwijs en Opvoeding,1.0,Educational Management Childcare,58.0,125.0,both,,no_tech
01VU,34040,Christelijke Hogeschool Windesheim,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),Sportkunde,hbo,bachelor,39.0,14.0,41.0,9.0,53.0,25.0,80.0,25.0,59.0,32.0,53.0,50.0,78.0,105.0,91.0,29.0,12.0,39.0,9.0,32.0,11.0,33.0,14.0,33.0,8.0,41.0,48.0,43.0,47.0,41.0,"['34', '80', '14', '153', '193', '344']",Sport en Bewegen,Gedrag en Maatschappij,1.0,Sport Studies,147.0,328.0,both,,no_tech
01VU,34116,Christelijke Hogeschool Windesheim,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),Social Work,hbo,bachelor,108.0,566.0,109.0,591.0,129.0,540.0,117.0,485.0,125.0,501.0,674.0,700.0,669.0,602.0,626.0,89.0,482.0,59.0,415.0,70.0,496.0,78.0,574.0,80.0,454.0,571.0,474.0,566.0,652.0,534.0,"['34', '80', '14', '153', '193', '344']",Social Work,Gedrag en Maatschappij,1.0,Social Work,813.0,3022.0,both,,no_tech
01VU,35146,Christelijke Hogeschool Windesheim,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),Theologie,hbo,bachelor,5.0,8.0,6.0,6.0,0.0,7.0,2.0,8.0,2.0,1.0,13.0,12.0,7.0,10.0,3.0,15.0,15.0,9.0,11.0,3.0,11.0,8.0,10.0,4.0,10.0,30.0,20.0,14.0,18.0,14.0,"['34', '80', '14', '153', '193', '344']",Maatschappelijk Werk en Dienstverlening,Gedrag en Maatschappij,1.0,Theology,33.0,98.0,both,,no_tech
01VU,49285,Christelijke Hogeschool Windesheim,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),Lichamelijke Opvoeding en Sportpedagogiek,hbo,master,0.0,0.0,0.0,0.0,15.0,10.0,8.0,5.0,6.0,5.0,0.0,0.0,25.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,4.0,1.0,0.0,0.0,0.0,11.0,5.0,"['34', '80', '14', '153', '193', '344']",Sport en Bewegen,Gedrag en Maatschappij,1.0,Physical Education and Sport Pedagogy,14.0,0.0,both,,no_tech
01VU,80120,Christelijke Hogeschool Windesheim,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),Sociaal Werk in de Zorg,hbo,associate degree,0.0,0.0,22.0,44.0,13.0,51.0,25.0,93.0,74.0,198.0,0.0,66.0,64.0,118.0,272.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,31.0,11.0,25.0,0.0,0.0,10.0,45.0,36.0,"['34', '80', '14', '153', '193', '344']",Maatschappelijk Werk en Dienstverlening,Gedrag en Maatschappij,1.0,Social Work,88.0,168.0,both,,no_tech
01VU,30109,Christelijke Hogeschool Windesheim,gezondheidszorg,n.v.t. (gezondheidszorg),Toegepaste Gerontologie,hbo,bachelor,1.0,16.0,1.0,12.0,7.0,19.0,3.0,11.0,4.0,16.0,17.0,13.0,26.0,14.0,20.0,2.0,10.0,0.0,17.0,4.0,19.0,6.0,23.0,4.0,18.0,12.0,17.0,23.0,29.0,22.0,"['34', '80', '14', '153', '193', '344']",Toegepaste Gerontologie,Gedrag en Maatschappij,1.0,Applied Gerontology,19.0,94.0,both,applied,no_tech
01VU,34560,Christelijke Hogeschool Windesheim,gezondheidszorg,n.v.t. (gezondheidszorg),Opleiding tot Verpleegkundige,hbo,bachelor,43.0,362.0,37.0,417.0,42.0,354.0,45.0,376.0,51.0,343.0,405.0,454.0,396.0,421.0,394.0,5.0,118.0,11.0,103.0,10.0,142.0,14.0,205.0,24.0,233.0,123.0,114.0,152.0,219.0,257.0,"['34', '80', '14', '153', '193', '344']",Verpleegkunde,Gezondheid,1.0,Nursing,479.0,1574.0,both,,no_tech
01VU,34578,Christelijke Hogeschool Windesheim,gezondheidszorg,n.v.t. (gezondheidszorg),Opleiding voor Logopedie,hbo,bachelor,1.0,76.0,1.0,65.0,1.0,58.0,2.0,65.0,2.0,75.0,77.0,66.0,59.0,67.0,77.0,0.0,50.0,1.0,54.0,1.0,48.0,1.0,67.0,1.0,68.0,50.0,55.0,49.0,68.0,69.0,"['34', '80', '14', '153', '193', '344']",Logopedie,Gezondheid,1.0,Speech and Language Therapy,107.0,372.0,both,,no_tech
01VU,34585,Christelijke Hogeschool Windesheim,gezondheidszorg,n.v.t. (gezondheidszorg),Psychomotorische Therapie en Bewegingsagogie,hbo,bachelor,30.0,76.0,20.0,71.0,30.0,75.0,33.0,80.0,36.0,84.0,106.0,91.0,105.0,113.0,120.0,18.0,62.0,25.0,85.0,29.0,63.0,15.0,69.0,16.0,57.0,80.0,110.0,92.0,84.0,73.0,"['34', '80', '14', '153', '193', '344']",Fysiotherapie,Gezondheid,1.0,Psychomotor Therapy/Psychomotricity,160.0,500.0,both,,no_tech
01VU,40065,Christelijke Hogeschool Windesheim,gezondheidszorg,n.v.t. (gezondheidszorg),Psychomotorische Therapie,hbo,master,0.0,0.0,0.0,0.0,0.0,0.0,17.0,37.0,1.0,12.0,0.0,0.0,0.0,54.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,14.0,0.0,0.0,0.0,3.0,19.0,"['34', '80', '14', '153', '193', '344']",Fysiotherapie,Gezondheid,1.0,Psychomotricity,54.0,0.0,both,,no_tech
01VU,34808,Christelijke Hogeschool Windesheim,onderwijs,leraar basisonderwijs,Opleiding tot leraar Basisonderwijs,hbo,bachelor,47.0,106.0,45.0,98.0,46.0,123.0,53.0,130.0,56.0,135.0,153.0,143.0,169.0,183.0,191.0,32.0,138.0,14.0,87.0,11.0,77.0,8.0,80.0,28.0,102.0,170.0,101.0,88.0,88.0,130.0,"['34', '80', '14', '153', '193', '344']",Leraar basisonderwijs (PABO),Onderwijs en Opvoeding,1.0,Education in Primary Schools (age 4 - 12),288.0,867.0,both,,no_tech
01VU,80142,Christelijke Hogeschool Windesheim,onderwijs,leraar basisonderwijs,Pedagogisch Educatief Professional,hbo,associate degree,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,1.0,34.0,0.0,0.0,0.0,21.0,35.0,,,,,,,,,,,,,,,,"['34', '80', '14', '153', '193', '344']",Pedagogiek,Onderwijs en Opvoeding,1.0,Pedagogisch Educatief Professional,21.0,21.0,both,,no_tech
01VU,44103,Christelijke Hogeschool Windesheim,onderwijs,lerarenopleidingen speciaal onderwijs,Educational Needs,hbo,master,58.0,376.0,21.0,236.0,20.0,153.0,19.0,124.0,21.0,110.0,434.0,257.0,173.0,143.0,131.0,33.0,300.0,43.0,314.0,42.0,290.0,19.0,225.0,14.0,144.0,333.0,357.0,332.0,244.0,158.0,"['34', '80', '14', '153', '193', '344']",Lerarenopleidingen speciaal,Onderwijs en Opvoeding,1.0,Educational Needs,155.0,0.0,both,,no_tech
01VU,35025,Christelijke Hogeschool Windesheim,onderwijs,n.v.t. (onderwijs),Opleiding tot Leraar van de eerste graad in Lichamelijke Opvoeding,hbo,bachelor,96.0,49.0,96.0,51.0,99.0,49.0,82.0,40.0,104.0,57.0,145.0,147.0,148.0,122.0,161.0,92.0,46.0,88.0,40.0,76.0,42.0,93.0,48.0,73.0,37.0,138.0,128.0,118.0,141.0,110.0,"['34', '80', '14', '153', '193', '344']",Academie lichamelijke opvoeding (ALO),Onderwijs en Opvoeding,1.0,Teacher Education in Physical Education,168.0,737.0,both,,no_tech
01VU,35193,Christelijke Hogeschool Windesheim,onderwijs,n.v.t. (onderwijs),Opleiding tot leraar voortgezet onderwijs van de tweede graad in Duits,hbo,bachelor,6.0,11.0,6.0,10.0,7.0,15.0,5.0,11.0,2.0,11.0,17.0,16.0,22.0,16.0,13.0,2.0,14.0,5.0,10.0,2.0,15.0,3.0,14.0,1.0,12.0,16.0,15.0,17.0,17.0,13.0,"['34', '80', '14', '153', '193', '344']",Lerarenopleiding talen,Onderwijs en Opvoeding,1.0,Teacher Education in German,33.0,99.0,both,,no_tech
01VU,35195,Christelijke Hogeschool Windesheim,onderwijs,n.v.t. (onderwijs),Opleiding tot leraar voortgezet onderwijs van de tweede graad in Engels,hbo,bachelor,30.0,79.0,34.0,73.0,52.0,61.0,34.0,60.0,31.0,78.0,109.0,107.0,113.0,94.0,109.0,13.0,39.0,5.0,20.0,5.0,24.0,3.0,22.0,8.0,31.0,52.0,25.0,29.0,25.0,39.0,"['34', '80', '14', '153', '193', '344']",Lerarenopleiding talen,Onderwijs en Opvoeding,1.0,Teacher Education in English,147.0,459.0,both,,no_tech
01VU,35196,Christelijke Hogeschool Windesheim,onderwijs,n.v.t. (onderwijs),Opleiding tot leraar voortgezet onderwijs van de tweede graad in Frans,hbo,bachelor,7.0,6.0,1.0,8.0,2.0,9.0,3.0,11.0,1.0,9.0,13.0,9.0,11.0,14.0,10.0,4.0,14.0,1.0,8.0,0.0,5.0,2.0,8.0,2.0,5.0,18.0,9.0,5.0,10.0,7.0,"['34', '80', '14', '153', '193', '344']",Lerarenopleiding talen,Onderwijs en Opvoeding,1.0,Teacher Education in French,18.0,54.0,both,,no_tech
01VU,35197,Christelijke Hogeschool Windesheim,onderwijs,n.v.t. (onderwijs),Opleiding tot leraar voortgezet onderwijs van de tweede graad in Geschiedenis,hbo,bachelor,42.0,19.0,39.0,19.0,47.0,14.0,36.0,18.0,37.0,11.0,61.0,58.0,61.0,54.0,48.0,24.0,11.0,11.0,13.0,15.0,10.0,16.0,8.0,17.0,10.0,35.0,24.0,25.0,24.0,27.0,"['34', '80', '14', '153', '193', '344']",Lerarenopleidingen maatschappijvakken,Onderwijs en Opvoeding,1.0,Teacher Education in History,95.0,300.0,both,,no_tech
